item,price_per_kg
Rice,60
Wheat flour,45
Sugar,40
Salt,20
Turmeric Powder,250
Chilli Powder,350
Coriander Powder,300
Cumin Seeds,400
Mustard Seeds,150
Fenugreek Seeds,120
Asafoetida,2000
Garam Masala,500
Tea Powder,400
Coffee Powder,500
Milk,60
Curd,50
Ghee,600
Butter,550
Paneer,400
Eggs,6
Chicken,220
Mutton,750
Fish,400
Toor Dal,140
Moong Dal,130
Urad Dal,120
Chana Dal,110
Rajma,150
Kabuli Chana,140
Green Peas,100
Soyabean,80
Groundnut,160
Almonds,800
Cashew Nuts,900
Pistachios,1200
Walnuts,1500
Raisins,400
Dates,300
Jaggery,80
Honey,450
Coconut,50
Cooking Oil,180
Olive Oil,900
Sunflower Oil,200
Mustard Oil,210
Soybean Oil,170
Bananas,60
Apples,180
Oranges,120
Pineapple,100
Mangoes,150
Grapes,90
Watermelon,40
Papaya,50
Tomatoes,40
Onions,30
Potatoes,25
Carrots,50
Cabbage,40
Cauliflower,50
Spinach,30
Cucumber,40
Brinjal,50
